person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight
2024HU1019293_1,MI,Michigan,Midwest,02300,Female,64,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),49
2024HU0024348_2,WI,Wisconsin,Midwest,01900,Male,46,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Carpenters,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),44
2024HU0274798_2,GA,Georgia,South,02700,Male,53,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",PRF-Employment Services,Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),209
2024HU0870136_1,MA,Massachusetts,Northeast,00606,Female,47,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,PRF-Computer Systems Design And Related Services,Married,Reference person,Females with own children 6 to 17 years only,3,No,62
2024HU0838724_2,TN,Tennessee,South,02101,Male,70,Two or more races,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),93
2024HU0017836_1,NC,North Carolina,South,01301,Male,50,Asian alone,Not Spanish/Hispanic/Latino,Doctorate degree,BUS-Management Analysts,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),119
2024HU1382157_2,CT,Connecticut,Northeast,20802,Male,51,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","FIN-Agencies, Brokerages, And Other Insurance Related Activities",Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),77
2024HU0695760_1,FL,Florida,South,12701,Male,82,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),329
2024HU0552579_3,HI,Hawaii,West,00100,Female,52,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"OFF-Bookkeeping, Accounting, And Auditing Clerks","PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Divorced,Stepson or stepdaughter,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),90
2024HU1132317_1,IL,Illinois,Midwest,19702,Male,57,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),82
2024HU1279190_1,TX,Texas,South,04904,Female,70,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),136
2024HU0958925_1,AL,Alabama,South,00800,Male,89,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),79
2024HU1215879_1,SC,South Carolina,South,01402,Male,75,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),45
2024HU1437840_1,CT,Connecticut,Northeast,20902,Female,28,White alone,Not Spanish/Hispanic/Latino,Master's degree,CMM-Other Mathematical Science Occupations,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,Females with no own children,1,No,227
2024HU1295491_2,CA,California,West,03767,Male,36,Hispanic or Latino (any race),Mexican,GED or alternative credential,TRN-Cleaners Of Vehicles And Equipment,SRV-Car Washes,Never married or under 15 years old,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),135
