person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight,anes_respondent_id,tipi_extraversion_anes,tipi_agreeableness_anes,tipi_conscientiousness_anes,tipi_emotional_stability_anes,tipi_openness_anes,moral_traditionalism_anes,egalitarianism_anes,opinion_strength_anes,party_id_7pt_anes,ideology_7pt_anes,religion_group_anes,religion_importance_anes,religion_attendance_anes,anes_match_distance,gss_respondent_id,social_trust_gss,usual_hours_worked_gss,general_happiness_gss,gss_match_distance,atus_respondent_id,wake_time_atus,atus_match_distance
2024HU1019293_1,MI,Michigan,Midwest,02300,Female,64,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),49,995,3,6,2.5,4.5,3.5,2.25,2.75,2.3333333333333335,7,4,Not religious,Important,Never,0.05701754385964908,gss_2016_2694,Depends,40,Pretty happy,0.019736842105263164,20230302231597,07:00:00,0.002109704641350185
2024HU0024348_2,WI,Wisconsin,Midwest,01900,Male,46,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Carpenters,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),44,3058,6,5,7,7,6,2.75,4.25,1.6666666666666667,7,6,Evangelical Protestant,Important,Almost every week,0.010964912280701733,gss_2018_2197,Can't be too careful,55,Very happy,0.004385964912280715,20240706241071,07:00:00,0.002109704641350185
2024HU0274798_2,GA,Georgia,South,02700,Male,53,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",PRF-Employment Services,Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),209,1118,5,7,7,6.5,4,2.5,3,3.3333333333333335,7,5,Not religious,Not important,Never,0.002192982456140413,gss_2016_2572,Can't be too careful,72,Not too happy,0.006578947368421129,20240505241449,06:00:00,0
2024HU0870136_1,MA,Massachusetts,Northeast,00606,Female,47,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,PRF-Computer Systems Design And Related Services,Married,Reference person,Females with own children 6 to 17 years only,3,No,62,321,6.5,5,7,5.5,6,4,2.25,4,3,4,Jewish,Important,A few times a year,0.006578947368421129,gss_2022_612,Can't be too careful,4,Pretty happy,0.002192982456140413,20240807241718,08:00:00,0.002109704641350185
2024HU0838724_2,TN,Tennessee,South,02101,Male,70,Two or more races,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),93,3597,5,4.5,5,3.5,4,1.75,3.75,3.3333333333333335,6,7,Evangelical Protestant,Important,Never,0.16666666666666663,gss_2018_948,Can trust people,40,Pretty happy,0.03289473684210531,20240605241666,07:15:00,0.16666666666666663
2024HU0017836_1,NC,North Carolina,South,01301,Male,50,Asian alone,Not Spanish/Hispanic/Latino,Doctorate degree,BUS-Management Analysts,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),119,967,4,4.5,4.5,4,4.5,4,1,3.3333333333333335,2,2,Other religion,Not important,Never,0.16885964912280704,gss_2024_456,Can't be too careful,40,Pretty happy,0.05482456140350889,20240605240782,07:00:00,0.008438818565400852
2024HU1382157_2,CT,Connecticut,Northeast,20802,Male,51,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","FIN-Agencies, Brokerages, And Other Insurance Related Activities",Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),77,742,6,6.5,6.5,6,5.5,4,2,3.3333333333333335,1,2,Roman Catholic,Not important,A few times a year,0,gss_2016_1571,Can trust people,50,Pretty happy,0.004385964912280715,20231008231223,08:00:00,0.002109704641350185
2024HU0695760_1,FL,Florida,South,12701,Male,82,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),329,4533,2.5,5.5,4.5,5,2.5,2,3,2,7,6,Roman Catholic,Not important,Never,0.004385964912280715,gss_2022_2144,Can't be too careful,0,Pretty happy,0.028508771929824483,20240403241655,08:00:00,0.0042194092827004814
2024HU0552579_3,HI,Hawaii,West,00100,Female,52,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"OFF-Bookkeeping, Accounting, And Auditing Clerks","PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Divorced,Stepson or stepdaughter,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),90,2504,3,7,7,5.5,6,3.5,1.75,1,1,3,Undifferentiated Christian,Important,A few times a year,0.16666666666666663,gss_2016_2534,Can trust people,40,Very happy,0.010964912280701733,20231110230867,06:30:00,0.021097046413502074
2024HU1132317_1,IL,Illinois,Midwest,19702,Male,57,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),82,3646,2,5.5,6.5,5,5,2.75,2.75,1.6666666666666667,6,4,Mainline Protestant,Important,Every week,0.002192982456140413,gss_2016_1074,Can trust people,55,Pretty happy,0.002192982456140413,20241211240739,07:00:00,0
