model,wording,condition,choice_idx
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
