person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight,anes_respondent_id,tipi_extraversion_anes,tipi_agreeableness_anes,tipi_conscientiousness_anes,tipi_emotional_stability_anes,tipi_openness_anes,moral_traditionalism_anes,egalitarianism_anes,opinion_strength_anes,party_id_7pt_anes,ideology_7pt_anes,religion_group_anes,religion_importance_anes,religion_attendance_anes,anes_match_distance,gss_respondent_id,social_trust_gss,usual_hours_worked_gss,general_happiness_gss,gss_match_distance,atus_respondent_id,wake_time_atus,atus_match_distance,stance
2024HU1019293_1,MI,Michigan,Midwest,2300,Female,64,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),49,995,3.0,6.0,2.5,4.5,3.5,2.25,2.75,2.333333333333333,7,4,Not religious,Important,Never,0.057017543859649,gss_2016_2694,Depends,40,Pretty happy,0.0197368421052631,20230302231597,07:00:00,0.0021097046413501,No preference
2024HU0024348_2,WI,Wisconsin,Midwest,1900,Male,46,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Carpenters,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),44,3058,6.0,5.0,7.0,7.0,6.0,2.75,4.25,1.6666666666666667,7,6,Evangelical Protestant,Important,Almost every week,0.0109649122807017,gss_2018_2197,Can't be too careful,55,Very happy,0.0043859649122807,20240706241071,07:00:00,0.0021097046413501,Standard
2024HU0274798_2,GA,Georgia,South,2700,Male,53,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",PRF-Employment Services,Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),209,1118,5.0,7.0,7.0,6.5,4.0,2.5,3.0,3.333333333333333,7,5,Not religious,Not important,Never,0.0021929824561404,gss_2016_2572,Can't be too careful,72,Not too happy,0.0065789473684211,20240505241449,06:00:00,0.0,DST
2024HU0870136_1,MA,Massachusetts,Northeast,606,Female,47,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,PRF-Computer Systems Design And Related Services,Married,Reference person,Females with own children 6 to 17 years only,3,No,62,321,6.5,5.0,7.0,5.5,6.0,4.0,2.25,4.0,3,4,Jewish,Important,A few times a year,0.0065789473684211,gss_2022_612,Can't be too careful,4,Pretty happy,0.0021929824561404,20240807241718,08:00:00,0.0021097046413501,DST
2024HU0838724_2,TN,Tennessee,South,2101,Male,70,Two or more races,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),93,3597,5.0,4.5,5.0,3.5,4.0,1.75,3.75,3.333333333333333,6,7,Evangelical Protestant,Important,Never,0.1666666666666666,gss_2018_948,Can trust people,40,Pretty happy,0.0328947368421053,20240605241666,07:15:00,0.1666666666666666,DST
2024HU0017836_1,NC,North Carolina,South,1301,Male,50,Asian alone,Not Spanish/Hispanic/Latino,Doctorate degree,BUS-Management Analysts,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),119,967,4.0,4.5,4.5,4.0,4.5,4.0,1.0,3.333333333333333,2,2,Other religion,Not important,Never,0.168859649122807,gss_2024_456,Can't be too careful,40,Pretty happy,0.0548245614035088,20240605240782,07:00:00,0.0084388185654008,Standard
2024HU1382157_2,CT,Connecticut,Northeast,20802,Male,51,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","FIN-Agencies, Brokerages, And Other Insurance Related Activities",Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),77,742,6.0,6.5,6.5,6.0,5.5,4.0,2.0,3.333333333333333,1,2,Roman Catholic,Not important,A few times a year,0.0,gss_2016_1571,Can trust people,50,Pretty happy,0.0043859649122807,20231008231223,08:00:00,0.0021097046413501,DST
2024HU0695760_1,FL,Florida,South,12701,Male,82,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),329,4533,2.5,5.5,4.5,5.0,2.5,2.0,3.0,2.0,7,6,Roman Catholic,Not important,Never,0.0043859649122807,gss_2022_2144,Can't be too careful,0,Pretty happy,0.0285087719298244,20240403241655,08:00:00,0.0042194092827004,DST
2024HU0552579_3,HI,Hawaii,West,100,Female,52,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"OFF-Bookkeeping, Accounting, And Auditing Clerks","PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Divorced,Stepson or stepdaughter,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),90,2504,3.0,7.0,7.0,5.5,6.0,3.5,1.75,1.0,1,3,Undifferentiated Christian,Important,A few times a year,0.1666666666666666,gss_2016_2534,Can trust people,40,Very happy,0.0109649122807017,20231110230867,06:30:00,0.021097046413502,DST
2024HU1132317_1,IL,Illinois,Midwest,19702,Male,57,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Other Managers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),82,3646,2.0,5.5,6.5,5.0,5.0,2.75,2.75,1.6666666666666667,6,4,Mainline Protestant,Important,Every week,0.0021929824561404,gss_2016_1074,Can trust people,55,Pretty happy,0.0021929824561404,20241211240739,07:00:00,0.0,Standard
2024HU1279190_1,TX,Texas,South,4904,Female,70,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),136,134,4.5,7.0,4.5,6.5,4.0,2.25,3.25,3.333333333333333,7,4,Roman Catholic,Important,Once or twice a month,0.0087719298245613,gss_2016_1973,Can trust people,33,Pretty happy,0.1666666666666666,20230504231440,05:00:00,0.0,DST
2024HU0958925_1,AL,Alabama,South,800,Male,89,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),79,177,5.5,6.5,6.0,6.0,5.0,1.0,4.5,3.0,7,6,Roman Catholic,Important,Every week,0.0328947368421053,gss_2022_2152,Can't be too careful,30,Not too happy,0.1842105263157893,20231111230049,04:15:00,0.0084388185654008,Standard
2024HU1215879_1,SC,South Carolina,South,1402,Male,75,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),45,4815,3.0,4.5,5.0,4.0,4.5,3.0,3.5,1.3333333333333333,6,6,Evangelical Protestant,Important,Once or twice a month,0.0065789473684211,gss_2018_1675,Can trust people,16,Very happy,0.0021929824561404,20240909240886,07:30:00,0.0,DST
2024HU1437840_1,CT,Connecticut,Northeast,20902,Female,28,White alone,Not Spanish/Hispanic/Latino,Master's degree,CMM-Other Mathematical Science Occupations,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,Females with no own children,1,No,227,3310,6.0,6.0,5.5,3.0,7.0,4.25,1.25,2.0,2,3,Not religious,Not important,Never,0.0307017543859648,gss_2016_654,Can't be too careful,40,Pretty happy,0.0043859649122807,20230302232365,12:00:00,0.0,DST
